columnas,count,unique,duplicate,vacios,cero,null,unique_values
trans_date,69,50,19,0,0,0,"['2023-06-02 12:49:52.000000 UTC', '2023-06-02 14:45:54.000000 UTC', '2023-09-21 16:35:41.000000 UTC', '2023-09-21 16:35:40.000000 UTC', '2023-08-30 09:14:24.000000 UTC', '2023-08-30 09:14:25.000000 UTC', '2023-07-21 15:56:36.000000 UTC', '2023-09-19 14:55:48.000000 UTC', '2023-09-19 14:51:09.000000 UTC', '2023-09-19 14:48:03.000000 UTC', '2023-06-16 17:11:46.000000 UTC', '2023-09-26 14:51:19.000000 UTC', '2023-09-26 14:51:21.000000 UTC', '2023-09-26 14:51:20.000000 UTC', '2023-11-03 17:25:26.000000 UTC', '2023-11-03 17:31:20.000000 UTC', '2023-11-23 13:59:39.000000 UTC', '2023-11-23 13:59:40.000000 UTC', '2023-10-30 13:22:17.000000 UTC', '2023-06-05 11:13:10.000000 UTC', '2023-07-10 15:40:31.000000 UTC', '2023-07-10 15:41:19.000000 UTC', '2023-11-16 15:19:59.000000 UTC', '2023-06-21 15:49:09.000000 UTC', '2023-06-21 15:08:52.000000 UTC', '2023-06-21 15:08:37.000000 UTC', '2023-06-21 15:49:26.000000 UTC', '2023-06-21 15:49:41.000000 UTC', '2023-08-17 10:45:03.000000 UTC', '2023-08-17 10:45:28.000000 UTC', '2023-06-15 13:37:55.000000 UTC', '2023-08-25 15:09:48.000000 UTC', '2023-08-25 15:09:49.000000 UTC', '2023-08-25 16:05:35.000000 UTC', '2023-07-17 12:50:22.000000 UTC', '2023-07-17 12:50:21.000000 UTC', '2023-08-31 12:04:09.000000 UTC', '2023-10-10 10:17:57.000000 UTC', '2023-10-10 10:47:17.000000 UTC', '2023-10-10 10:49:50.000000 UTC', '2023-10-10 10:24:19.000000 UTC', '2023-09-27 15:19:19.000000 UTC', '2023-08-28 16:14:02.000000 UTC', '2023-08-28 16:20:18.000000 UTC', '2023-08-28 16:12:25.000000 UTC', '2023-08-09 16:03:44.000000 UTC', '2023-08-09 15:45:32.000000 UTC', '2023-08-09 16:03:45.000000 UTC', '2023-08-09 15:45:38.000000 UTC', '2023-09-13 16:49:06.000000 UTC']"
acc_interest_method,0,0,0,0,0,69,[nan]
document_date,0,0,0,0,0,69,[nan]
record_userid,69,8,61,0,0,0,"['GRIMALDI', 'LOCONSOV', 'OLIVET', 'FRANCISC', 'BENITEGL', 'RAGONESE', 'CLAVIO', 'GARYULO']"
record_timestamp,69,37,32,0,0,0,"['2023-06-02 22:30:10.000000 UTC', '2023-09-21 22:30:15.000000 UTC', '2023-09-21 16:35:47.000000 UTC', '2023-09-21 16:35:41.000000 UTC', '2023-08-30 22:30:16.000000 UTC', '2023-07-21 15:56:36.000000 UTC', '2023-09-19 22:30:16.000000 UTC', '2023-09-19 22:30:15.000000 UTC', '2023-06-16 22:30:10.000000 UTC', '2023-06-16 17:11:54.000000 UTC', '2023-06-16 17:11:46.000000 UTC', '2023-09-26 22:30:15.000000 UTC', '2023-11-03 22:30:17.000000 UTC', '2023-11-23 13:59:40.000000 UTC', '2023-11-23 13:59:45.000000 UTC', '2023-11-23 22:30:16.000000 UTC', '2023-10-30 22:30:16.000000 UTC', '2023-06-05 22:30:10.000000 UTC', '2023-07-10 15:40:37.000000 UTC', '2023-07-10 15:41:19.000000 UTC', '2023-11-16 22:30:16.000000 UTC', '2023-06-21 22:30:10.000000 UTC', '2023-08-17 22:30:16.000000 UTC', '2023-06-15 22:30:11.000000 UTC', '2023-08-25 15:09:48.000000 UTC', '2023-08-25 15:09:56.000000 UTC', '2023-08-25 22:30:15.000000 UTC', '2023-08-25 16:05:35.000000 UTC', '2023-07-17 12:50:28.000000 UTC', '2023-07-17 12:50:22.000000 UTC', '2023-08-31 22:30:16.000000 UTC', '2023-10-10 22:34:16.000000 UTC', '2023-09-27 15:19:19.000000 UTC', '2023-08-28 22:30:16.000000 UTC', '2023-08-09 16:03:44.000000 UTC', '2023-08-09 16:03:45.000000 UTC', '2023-09-13 22:30:15.000000 UTC']"
policy_line_seq_no,69,10,59,0,0,0,"[79946, 80332, 80551, 80552, 80629, 79263, 80593, 82498, 82453, 81014]"
uix_seq_no,69,69,0,0,0,0,"[2549461357, 2550370957, 2549461099, 2549461536, 3903927873, 3903925066, 3903927870, 3616957343, 3616957357, 3123071773, 3872461402, 3872420727, 3872461403, 3872394526, 2708836356, 2708836323, 2708836353, 3965998968, 3966000622, 3966000452, 4457926448, 4457985250, 4732814336, 4732813020, 4732815863, 4401597248, 2582307870, 2989423627, 2989430058, 4643504654, 4643504677, 2764210548, 2763894547, 2763891980, 2764213126, 2764215698, 3454126425, 3454129347, 2695867472, 2695867537, 3556778251, 3556778245, 3556778254, 3557292557, 3557292547, 3557292553, 3072889260, 3072889251, 3072889257, 3631155944, 3631155945, 4142481267, 4142742840, 4142742841, 4142766827, 4142766826, 4142540486, 3978949303, 3595136630, 3595188971, 3595122165, 3356559898, 3356559897, 3356401783, 3356559900, 3356559901, 3356404610, 3797842422, 3797842423]"
site_seq_no,69,1,68,0,0,0,[1]
c11,0,0,0,0,0,69,[nan]
c12,0,0,0,0,0,69,[nan]
c13,0,0,0,0,0,69,[nan]
c14,0,0,0,0,0,69,[nan]
c15,0,0,0,0,0,69,[nan]
c16,0,0,0,0,0,69,[nan]
c17,0,0,0,0,0,69,[nan]
c18,0,0,0,0,0,69,[nan]
c19,0,0,0,0,0,69,[nan]
c20,0,0,0,0,0,69,[nan]
c21,0,0,0,0,0,69,[nan]
c22,0,0,0,0,0,69,[nan]
c23,0,0,0,0,0,69,[nan]
c24,0,0,0,0,0,69,[nan]
c25,0,0,0,0,0,69,[nan]
c26,0,0,0,0,0,69,[nan]
c27,0,0,0,0,0,69,[nan]
c28,0,0,0,0,0,69,[nan]
c29,0,0,0,0,0,69,[nan]
c30,0,0,0,0,0,69,[nan]
c31,0,0,0,0,0,69,[nan]
c32,0,0,0,0,0,69,[nan]
c33,0,0,0,0,0,69,[nan]
c34,0,0,0,0,0,69,[nan]
c35,0,0,0,0,0,69,[nan]
c36,0,0,0,0,0,69,[nan]
c37,0,0,0,0,0,69,[nan]
c38,0,0,0,0,0,69,[nan]
c39,0,0,0,0,0,69,[nan]
c40,0,0,0,0,0,69,[nan]
c41,0,0,0,0,0,69,[nan]
c42,0,0,0,0,0,69,[nan]
c43,0,0,0,0,0,69,[nan]
c44,0,0,0,0,0,69,[nan]
c45,0,0,0,0,0,69,[nan]
c46,0,0,0,0,0,69,[nan]
c47,0,0,0,0,0,69,[nan]
c48,0,0,0,0,0,69,[nan]
c49,0,0,0,0,0,69,[nan]
c50,0,0,0,0,0,69,[nan]
n11,0,0,0,0,0,69,[nan]
n12,0,0,0,0,0,69,[nan]
n13,0,0,0,0,0,69,[nan]
n14,0,0,0,0,0,69,[nan]
n15,0,0,0,0,0,69,[nan]
n16,0,0,0,0,0,69,[nan]
n17,0,0,0,0,0,69,[nan]
n18,0,0,0,0,0,69,[nan]
n19,0,0,0,0,0,69,[nan]
n20,0,0,0,0,0,69,[nan]
n21,0,0,0,0,0,69,[nan]
n22,0,0,0,0,0,69,[nan]
n23,0,0,0,0,0,69,[nan]
n24,0,0,0,0,0,69,[nan]
n25,0,0,0,0,0,69,[nan]
n26,0,0,0,0,0,69,[nan]
n27,0,0,0,0,0,69,[nan]
n28,0,0,0,0,0,69,[nan]
n29,0,0,0,0,0,69,[nan]
n30,0,0,0,0,0,69,[nan]
n31,0,0,0,0,0,69,[nan]
n32,0,0,0,0,0,69,[nan]
n33,0,0,0,0,0,69,[nan]
n34,0,0,0,0,0,69,[nan]
n35,0,0,0,0,0,69,[nan]
n36,0,0,0,0,0,69,[nan]
n37,0,0,0,0,0,69,[nan]
n38,0,0,0,0,0,69,[nan]
n39,0,0,0,0,0,69,[nan]
n40,0,0,0,0,0,69,[nan]
n41,0,0,0,0,0,69,[nan]
n42,0,0,0,0,0,69,[nan]
n43,0,0,0,0,0,69,[nan]
n44,0,0,0,0,0,69,[nan]
n45,0,0,0,0,0,69,[nan]
n46,0,0,0,0,0,69,[nan]
n47,0,0,0,0,0,69,[nan]
n48,0,0,0,0,0,69,[nan]
n49,0,0,0,0,0,69,[nan]
n50,0,0,0,0,0,69,[nan]
d11,0,0,0,0,0,69,[nan]
d12,0,0,0,0,0,69,[nan]
d13,0,0,0,0,0,69,[nan]
d14,0,0,0,0,0,69,[nan]
d15,0,0,0,0,0,69,[nan]
d16,0,0,0,0,0,69,[nan]
d17,0,0,0,0,0,69,[nan]
d18,0,0,0,0,0,69,[nan]
d19,0,0,0,0,0,69,[nan]
d20,0,0,0,0,0,69,[nan]
d21,0,0,0,0,0,69,[nan]
d22,0,0,0,0,0,69,[nan]
d23,0,0,0,0,0,69,[nan]
d24,0,0,0,0,0,69,[nan]
d25,0,0,0,0,0,69,[nan]
d26,0,0,0,0,0,69,[nan]
d27,0,0,0,0,0,69,[nan]
d28,0,0,0,0,0,69,[nan]
d29,0,0,0,0,0,69,[nan]
d30,0,0,0,0,0,69,[nan]
d31,0,0,0,0,0,69,[nan]
d32,0,0,0,0,0,69,[nan]
d33,0,0,0,0,0,69,[nan]
d34,0,0,0,0,0,69,[nan]
d35,0,0,0,0,0,69,[nan]
d36,0,0,0,0,0,69,[nan]
d37,0,0,0,0,0,69,[nan]
d38,0,0,0,0,0,69,[nan]
d39,0,0,0,0,0,69,[nan]
d40,0,0,0,0,0,69,[nan]
d41,0,0,0,0,0,69,[nan]
d42,0,0,0,0,0,69,[nan]
d43,0,0,0,0,0,69,[nan]
d44,0,0,0,0,0,69,[nan]
d45,0,0,0,0,0,69,[nan]
d46,0,0,0,0,0,69,[nan]
d47,0,0,0,0,0,69,[nan]
d48,0,0,0,0,0,69,[nan]
d49,0,0,0,0,0,69,[nan]
d50,0,0,0,0,0,69,[nan]
master_item_no,0,0,0,0,0,69,[nan]
row_hash,69,69,0,0,0,0,"[2617736706, 3052633791, 1289519252, 1305443870, 2413461418, 1253999423, 1070497764, 1791655391, 2312404489, 3184885073, 2108784051, 2371256162, 3137961348, 481526049, 795574102, 489259695, 3038871421, 3322773732, 1017085503, 3092020783, 4189683800, 2071101495, 1141800837, 3335684979, 2107146250, 1690467377, 1916633285, 2189001597, 183796008, 3703603057, 4097998801, 1365672626, 2750841224, 1286766379, 780107635, 3833430105, 1261011304, 1978826532, 444824883, 3598548259, 4213538744, 2221835182, 1504018498, 2435612237, 3852697898, 2838920850, 704020322, 2049671978, 531333112, 3078192549, 922451428, 3949428921, 426671991, 2469691314, 1124433232, 3539565936, 3098640147, 1329626714, 2961080932, 3120070470, 483753849, 2991291647, 3679485193, 4152065719, 1746433522, 862090825, 52983602, 1736409133, 570785909]"
fecha_lote,69,24,45,0,0,0,"['2023-06-05', '2023-09-22', '2023-08-31', '2023-07-22', '2023-09-20', '2023-06-21', '2023-09-27', '2023-11-04', '2023-11-24', '2023-10-31', '2023-06-06', '2023-07-11', '2023-11-17', '2023-06-22', '2023-08-18', '2023-06-16', '2023-08-26', '2023-07-18', '2023-09-01', '2023-10-11', '2023-09-28', '2023-08-29', '2023-08-10', '2023-09-14']"
